n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,kl-d,p_clean,p_att,d2original,exp_util,seconds
0,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","[""'s"", 'afghanistan', 'militants', 'united', ',', '""', 'day', 'home', 'among', 'pakistani', 'government', 'men', 'korea', 'iranian', 'statement', 'japan', 'killing', 'india', 'hamas', 'african', 'authorities', 'soldiers', 'french', 'chavez', 'foreign', 'said', 'talks', 'part', 'including', 'including']",6.648463623445398,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[6.36114710e-06 9.24785892e-01 6.65974888e-02 2.83147368e-05
 6.69459836e-04 4.04736556e-05 5.11832949e-06 2.08082459e-05
 1.81006881e-04 1.10096950e-06 3.54695983e-06 1.86305721e-05
 7.63484244e-05 4.23570665e-04 6.52832058e-04 1.34609291e-04
 1.83166681e-04 3.29857061e-04 1.27784790e-06 3.29592695e-05
 2.13730938e-06 2.16449238e-06 6.18506410e-05 5.16736727e-04
 4.82731661e-05 7.42133241e-05 1.30801383e-05 2.24984323e-04
 4.86373617e-03]",0.06666666666666667,16.297449546096498,1500
1,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['says', 'meet', ',', 'fighting', 'human', 'tuesday', 'left', ',', 'human', 'came', 'among', 'may', 'bird', 'war', 'charges', 'al-qaida', 'food', 'state', 'coalition', 'border', 'take', 'wounded', 'began', 'islamic', 'insurgents', ""'s"", 'outside', 'al-qaida', 'chief', 'among']",1.801238263868105,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[6.04030666e-04 3.39399385e-02 1.03269746e-02 6.15814162e-04
 6.41175750e-05 1.76315675e-02 5.30350008e-04 4.95698176e-03
 5.69920545e-01 6.08831806e-04 4.65982976e-03 6.48173383e-04
 5.14132781e-03 5.07897754e-02 2.27769309e-01 6.12006362e-04
 2.86791291e-02 8.68505033e-03 8.79099890e-05 2.15831579e-03
 5.12321889e-04 5.63396688e-04 4.54067977e-03 7.79430427e-03
 1.26469238e-03 5.22603055e-03 9.62077136e-04 2.59683726e-03
 8.10968138e-03]",0.03333333333333333,5.602505181969932,1500
2,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['eastern', 'month', 'muslim', 'al-qaida', 'group', 'u.s.', 'january', 'flu', 'iraqi', ',', 'among', 'food', 'said', 'european', 'eu', 'expected', 'venezuela', 'international', 'former', 'army', 'least', 'end', 'presidential', 'meanwhile', 'western', 'leader', 'japan', 'expected', 'dead', 'groups']",2.743679481861303,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[4.64814718e-04 3.23976612e-02 3.38010471e-03 6.39720532e-04
 1.17170880e-05 2.68300727e-03 2.83144301e-04 3.06138732e-03
 2.05305163e-02 4.40948821e-04 1.92760888e-04 5.96561522e-04
 1.45307523e-03 6.38369866e-01 2.02704653e-01 5.74743124e-03
 1.37986088e-02 1.55702645e-02 2.10095832e-05 2.66433696e-03
 4.34027055e-04 6.57708767e-04 3.15913875e-03 1.70098319e-02
 2.12718611e-03 6.15053261e-03 1.80643535e-03 8.25546132e-03
 1.53880883e-02]",0.0,6.4872248807260045,1500
3,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['agency', 'palestinian', 'help', 'africa', 'since', 'car', 'gaza', 'workers', 'told', 'billion', 'british', 'newspaper', 'arrested', 'came', 'five', 'pakistan', 'russia', ',', 'darfur', 'military', 'country', 'militants', 'states', 'held', 'general', 'attack', 'officials', 'council', 'militants', 'army']",2.996552854092132,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[3.57572685e-04 1.93635094e-02 1.13733777e-02 5.22357133e-04
 3.48791702e-05 3.29017595e-03 5.24637300e-04 8.21448898e-01
 1.97907981e-02 2.48093899e-04 3.24822715e-04 4.29890200e-04
 1.25458352e-03 2.19117844e-02 2.89750054e-02 2.56565244e-03
 9.94271805e-03 1.45503677e-02 3.00652990e-04 2.50705368e-03
 1.13225446e-03 4.69948915e-04 2.01263246e-03 7.58134474e-03
 1.33458224e-03 3.80602466e-03 1.97165430e-03 4.53792211e-03
 1.74368060e-02]",0.06666666666666667,8.992954329959703,1500
4,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['would', 'japan', 'bomb', ""'"", 'new', 'visit', 'home', 'newspaper', 'month', 'past', 'day', 'flu', 'came', 'home', 'hamas', 'northern', 'released', 'chinese', 'economic', 'announced', 'union', 'help', 'statement', 'official', 'report', 'northern', 'aid', 'talks', 'monday', 'european']",3.279630264449906,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[2.71747111e-04 9.01580540e-03 6.34336694e-03 3.97369870e-04
 2.22398916e-05 1.75112377e-03 2.49678841e-04 7.91936940e-04
 7.89846566e-01 9.96606559e-05 1.39467074e-04 1.83363675e-04
 2.02976385e-03 1.98587068e-02 1.38982481e-01 2.58070154e-04
 5.11152703e-03 1.85416489e-03 1.52893018e-04 8.04086085e-04
 4.07302892e-04 2.33976435e-04 1.08220420e-03 2.37251548e-03
 5.76873452e-04 1.75757709e-03 6.38564411e-04 1.52455853e-03
 1.32424085e-02]",0.0,7.559153045177589,1500
5,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['state', 'death', 'gaza', 'minister', 'set', 'turkey', 'insurgents', 'later', 'prices', 'head', 'north', 'meanwhile', 'korea', 'foreign', 'government', 'including', ""'"", ',', 'head', 'central', 'nato', 'media', 'three', 'statement', 'venezuela', 'took', 'suicide', 'plan', 'minister', 'attacks']",2.2159239241282775,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[2.22201980e-03 5.10303234e-02 2.57180442e-02 1.08507196e-03
 6.66424445e-05 5.30170057e-03 6.51794688e-04 5.13449449e-03
 2.85526517e-02 5.18256039e-04 1.12309216e-03 1.04268794e-03
 2.51257571e-03 7.53904131e-02 9.60762070e-02 7.77763357e-03
 2.17346480e-02 2.86260418e-02 3.96934256e-04 4.37855470e-03
 8.29277401e-04 7.80042985e-04 1.11855195e-01 1.77907774e-01
 2.91591262e-03 3.19309620e-01 3.41780917e-03 1.38229049e-02
 9.82167631e-03]",0.06666666666666667,7.43142137101984,1500
6,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['washington', 'months', 'four', 'iraqi', 'say', 'african', 'month', 'make', 'company', 'united', 'trade', 'set', 'militants', 'chief', 'democratic', 'program', 'al-qaida', 'groups', 'including', 'blast', 'north', 'end', 'chinese', 'recent', 'nations', 'saturday', 'parliament', 'may', 'national', '.']",3.4490961698749762,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[1.28579895e-04 6.41048060e-03 4.13483354e-03 2.43867293e-04
 1.27732535e-05 1.87097534e-03 1.42023163e-04 1.14080055e-03
 7.54650607e-03 9.18400001e-05 1.28655595e-04 1.26861560e-04
 4.80361472e-04 2.23898114e-02 1.17784280e-02 1.50854416e-04
 1.24706369e-02 1.52137733e-03 3.73680972e-04 6.17984687e-04
 8.07209270e-05 1.20204505e-04 2.18077049e-02 1.50691087e-03
 4.59504475e-04 1.99825882e-03 8.98634010e-01 7.88093593e-04
 2.84325983e-03]",0.06666666666666667,9.899388745894598,1500
7,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['french', 'eastern', 'sudan', 'month', 'elections', 'city', 'india', 'military', 'group', 'control', 'european', 'british', 'american', 'least', 'northern', 'dead', 'suspected', 'meet', 'men', 'reported', 'washington', 'countries', 'two', 'russian', 'terrorist', 'energy', 'american', '(', '20', 'attack']",2.199025142007778,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[6.64914145e-04 4.84661968e-02 1.93751764e-02 1.24697165e-03
 5.55204453e-05 7.05647622e-03 1.29058189e-03 7.36562663e-03
 5.08965639e-02 6.43532853e-04 4.65689231e-04 5.95267037e-04
 3.39550078e-03 5.78386993e-02 4.54669529e-02 2.00907517e-03
 6.43560979e-01 2.84389680e-02 6.57894123e-04 4.67964186e-03
 3.53125414e-03 9.22253025e-04 4.94587142e-03 1.84443199e-02
 3.03182396e-03 9.91357051e-03 3.08078403e-03 1.32039889e-02
 1.87559054e-02]",0.0,5.399208627962415,1500
8,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['indian', 'day', 'parliament', '.', 'states', 'prime', 'ministry', 'dead', 'bank', 'sunday', '%', 'opposition', 'attacks', 'outside', 'head', 'talks', 'chinese', 'used', 'help', ""'s"", 'support', 'came', 'security', 'council', 'nations', '$', 'major', 'efforts', 'confirmed', 'attacks']",4.626003108460165,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[2.67674433e-04 4.47457920e-03 8.85746035e-04 5.26494834e-04
 5.93423529e-05 5.36484591e-04 4.32036887e-04 7.34282499e-04
 1.64297369e-03 6.58994503e-04 2.53237699e-04 2.99649540e-04
 5.52988460e-04 1.50899564e-03 7.07401438e-03 5.39237415e-01
 4.13325686e-03 2.95150949e-03 1.31381969e-03 1.32932565e-03
 3.66183279e-04 1.11062476e-03 7.57217729e-04 3.25934622e-03
 6.65976538e-04 7.56646616e-04 6.12964324e-04 1.16834787e-03
 4.22429871e-01]",0.0,10.251835985196918,1500
9,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['army', 'last', 'later', ""'s"", 'country', 'called', 'weeks', 'next', 'people', 'american', ',', 'u.s.', 'public', 'people', 'sunday', 'bush', 'news', 'party', 'early', 'past', 'news', 'control', 'muslim', 'work', 'south', 'bush', 'meet', 'elections', 'army', 'violence']",3.843731884169698,"[1.91835860e-03 4.99946951e-02 2.60585458e-02 1.66899464e-03
 9.46369609e-05 4.80658030e-01 1.61218995e-03 9.17483031e-03
 6.71247815e-02 9.96410622e-04 1.50725822e-03 7.33856177e-04
 4.24548650e-03 6.63889142e-02 6.82515287e-02 1.29038951e-03
 3.01499354e-02 1.65189964e-02 8.56529463e-04 9.48547154e-03
 3.72914365e-03 1.09363482e-03 7.55671906e-03 2.99775799e-02
 6.22199249e-03 3.24691500e-02 4.53655719e-02 5.14016009e-03
 2.97162088e-02]","[1.58833941e-04 8.98796916e-03 3.19113339e-03 3.05832753e-04
 1.33941763e-05 1.36942380e-03 1.55213743e-04 5.76965217e-04
 8.99368402e-03 1.26747080e-04 1.31767038e-04 6.84298791e-05
 3.45951579e-04 9.47731224e-01 1.47815286e-02 9.38026622e-05
 7.23324264e-03 5.02402355e-04 3.13314665e-05 1.02630029e-03
 5.07804885e-05 1.55728449e-04 1.99945113e-04 8.39009850e-04
 1.51397411e-04 5.41612004e-04 3.35334160e-04 8.59970799e-04
 1.04104356e-03]",0.03333333333333333,9.688196103731201,1500
